2,2,0.025,0.025,1
1,2,0.25,0.225,0
3,2,0.3,0.04999999999999999,0
3,2,1.5,1.2,0
2,2,2.25,0.75,1
2,2,4.75,2.5,1
3,2,5.25,0.5,0
3,2,5.75,0.5,0
1,2,8.5,2.75,0
3,2,9.0,0.5,0
3,3,9.75,0.75,1
1,3,10.0,0.25,0
3,3,11.25,1.25,1
3,3,12.0,0.75,1
1,3,12.75,0.75,0
1,3,13.5,0.75,0
1,3,14.5,1.0,0
1,3,16.0,1.5,0
3,3,16.5,0.5,1
3,3,17.0,0.5,1
2,3,17.75,0.75,0
3,3,19.75,2.0,1
3,3,20.5,0.75,1
1,3,21.25,0.75,0
3,3,22.25,1.0,1
3,3,23.25,1.0,1
3,3,24.75,1.5,1
1,3,25.75,1.0,0
3,3,27.25,1.5,1
3,3,29.75,2.5,1
2,3,30.5,0.75,0
3,3,32.75,2.25,1
2,3,36.0,3.25,0
1,3,37.0,1.0,0
3,3,38.0,1.0,1
1,3,39.25,1.25,0
3,3,40.25,1.0,1
3,3,42.75,2.5,1
1,3,43.75,1.0,0
3,3,44.5,0.75,1
2,3,45.0,0.5,0
3,3,45.75,0.75,1
3,3,46.5,0.75,1
3,3,48.25,1.75,1
3,3,49.0,0.75,1
1,3,51.25,2.25,0
3,3,53.75,2.5,1
3,3,57.0,3.25,1
1,3,57.5,0.5,0
2,3,58.5,1.0,0
3,3,59.75,1.25,1
3,3,63.5,3.75,1
2,3,66.5,3.0,0
3,3,77.25,10.75,1
1,3,78.25,1.0,0
3,3,88.75,10.5,1
1,3,91.25,2.5,0
2,3,100.25,9.0,0
3,3,101.25,1.0,1
2,3,101.75,0.5,0
2,3,102.5,0.75,0
3,3,103.0,0.5,1
3,3,105.0,2.0,1
3,3,105.75,0.75,1
4,3,107.25,1.5,0
1,3,108.0,0.75,0
3,3,109.25,1.25,1
3,3,110.0,0.75,1
3,3,110.75,0.75,1
3,3,112.5,1.75,1
2,3,113.25,0.75,0
1,3,114.25,1.0,0
3,3,115.25,1.0,1
3,3,119.0,3.75,1
3,3,120.5,1.5,1
1,3,122.0,1.5,0
1,3,123.25,1.25,0
3,3,126.25,3.0,1
1,3,128.0,1.75,0
3,3,129.25,1.25,1
3,3,130.25,1.0,1
3,3,131.25,1.0,1
1,3,132.25,1.0,0
3,3,132.75,0.5,1
3,3,136.0,3.25,1
2,3,137.25,1.25,0
3,3,139.0,1.75,1
1,3,141.5,2.5,0
4,3,143.75,2.25,0
3,3,151.0,7.25,1
2,3,152.5,1.5,0
3,3,155.5,3.0,1
3,3,156.5,1.0,1
3,3,157.5,1.0,1
2,3,159.25,1.75,0
3,3,159.75,0.5,1
3,3,160.25,0.5,1
3,3,160.75,0.5,1
3,3,161.25,0.5,1
1,3,162.0,0.75,0
3,3,162.25,0.25,1
3,3,163.5,1.25,1
3,3,164.0,0.5,1
1,3,165.0,1.0,0
2,3,165.5,0.5,0
3,3,166.5,1.0,1
3,3,168.0,1.5,1
1,3,169.25,1.25,0
1,3,169.5,0.25,0
3,3,170.0,0.5,1
3,3,171.0,1.0,1
1,3,171.5,0.5,0
3,3,172.0,0.5,1
